City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ballybofey,54.8,-7.7833,56.55,97,100,2.76,IE,1628459904
Trelew,-43.249,-65.3051,46.35,45,0,3.04,AR,1628459904
Eilat,29.5581,34.9482,91.24,33,0,4.63,IL,1628459904
Vaasa,63.096,21.6158,60.94,94,0,1.03,FI,1628459905
Bilibino,68.0546,166.4372,56.05,36,79,0.9,RU,1628459905
Alice Springs,-23.7,133.8833,35.15,55,0,1.54,AU,1628459905
Kamenka,51.3223,42.7678,77.59,27,100,4.07,RU,1628459906
Daru,-9.0763,143.2092,76.15,89,100,7.53,PG,1628459906
Puerto Madero,14.7208,-92.4215,88.00,70,40,4.63,MX,1628459906
Marabu,4.4148,114.0089,78.94,83,40,2.06,MY,1628459907
Port Hardy,50.6996,-127.4199,60.98,82,90,4.63,CA,1628459907
Marsabit,2.3284,37.9899,67.48,54,24,9.9,KE,1628459908
Porto-Novo,6.4965,2.6036,76.82,90,100,4.0,BJ,1628459908
Villa Rica,33.7321,-84.9191,89.80,68,99,1.55,US,1628459762
Jalu,29.0331,21.5482,87.98,24,0,4.28,LY,1628459909
Ola,59.5833,151.2833,60.80,61,39,1.91,RU,1628459909
Bathsheba,13.2167,-59.5167,84.81,70,20,9.77,BB,1628459909
Sinj,43.7036,16.6394,78.69,50,58,2.58,HR,1628459910
Twin Falls,42.3505,-114.6445,88.03,21,4,8.81,US,1628459910
Talcahuano,-36.7167,-73.1167,51.48,66,0,3.09,CL,1628459911
Nouadhibou,20.931,-17.0347,71.58,83,3,7.2,MR,1628459911
Pecos,31.4229,-103.4932,100.49,20,1,1.54,US,1628459911
Epe,6.5841,3.9834,74.12,93,99,2.83,NG,1628459912
Opelousas,30.5335,-92.0815,93.22,59,1,4.12,US,1628459912
São João da Barra,-21.6403,-41.0511,69.89,79,29,6.03,BR,1628459912
Anloga,5.7947,0.8973,77.22,90,84,6.49,GH,1628459913
Tumut,-35.3,148.2167,41.99,75,100,1.33,AU,1628459913
Ak-Dovurak,51.1833,90.6,55.38,83,97,0.24,RU,1628459914
Naryan-Mar,67.6713,53.087,44.31,94,3,1.39,RU,1628459914
Khāsh,28.2211,61.2158,80.26,14,0,1.83,IR,1628459915
Cham,47.1821,8.4636,60.66,88,75,0.0,CH,1628459915
Caibarién,22.5206,-79.4669,84.58,69,1,5.29,CU,1628459915
Kiruna,67.8557,20.2251,52.72,100,90,4.12,SE,1628459916
Tolbazy,54.0241,55.8825,56.16,72,5,2.52,RU,1628459916
Rodolfo Sánchez Taboada,31.7167,-116.5667,79.20,56,13,3.79,MX,1628459917
Malanje,-9.5402,16.341,66.16,49,78,2.2,AO,1628459917
Longonjo,-12.9067,15.2533,60.44,19,33,0.82,AO,1628459917
Dalbandin,28.8947,64.4101,86.45,12,0,1.92,PK,1628459918
Neuquén,-38.9516,-68.0591,53.49,37,0,2.57,AR,1628459850
Keti Bandar,24.1447,67.4497,79.70,77,95,5.89,PK,1628459918
Kiryat Gat,31.61,34.7642,81.28,100,0,0.84,IL,1628459919
Santa Maria,-29.6842,-53.8069,76.30,61,0,2.06,BR,1628459919
Harrisburg,40.2737,-76.8844,90.18,51,4,0.89,US,1628459762
General Pico,-35.6566,-63.7568,42.30,88,100,2.74,AR,1628459920
Cabra,37.4725,-4.4421,80.04,36,0,1.45,ES,1628459920
Gualaquiza,-3.4,-78.55,75.49,61,79,1.38,EC,1628459920
Nizwá,22.9333,57.5333,92.39,32,44,0.22,OM,1628459921
Murfreesboro,35.8456,-86.3903,91.42,56,1,2.57,US,1628459685
Şebinkarahisar,40.2883,38.4236,58.55,81,83,1.26,TR,1628459921
Huntsville,34.7304,-86.5861,89.44,64,1,0.89,US,1628459804
Turukhansk,65.8167,87.9833,54.59,63,12,3.02,RU,1628459922
Bahía Blanca,-38.7196,-62.2724,48.07,71,100,4.53,AR,1628459668
Saint-François,46.4154,3.9054,59.18,90,0,0.51,FR,1628459922
Kyshtovka,56.555,76.6271,59.49,96,73,2.91,RU,1628459922
Banjar,-8.19,114.9675,78.66,85,86,0.92,ID,1628459923
Araouane,18.9048,-3.5265,98.20,23,17,7.33,ML,1628459923
Hamilton,39.1834,-84.5333,91.62,55,20,0.45,US,1628459243
Dalmau,26.0667,81.0333,80.94,88,99,1.63,IN,1628459924
Ponta Delgada,37.7333,-25.6667,72.32,83,75,6.17,PT,1628459924
Xunchang,28.4543,104.715,74.03,97,100,1.06,CN,1628459924
Sabang,5.8933,95.3214,82.42,78,85,6.78,ID,1628459925
Samarai,-10.6167,150.6667,77.95,76,98,6.23,PG,1628459915
Cidreira,-30.1811,-50.2056,60.31,91,1,4.02,BR,1628459715
Ngawi,-7.4038,111.4461,74.10,89,44,1.69,ID,1628459926
Cuamba,-14.8031,36.5372,62.96,60,0,2.09,MZ,1628459926
Gorontalo,0.5412,123.0595,74.19,93,98,1.29,ID,1628459926
Canchungo,12.0672,-16.0333,84.27,92,100,1.4,GW,1628459927
Kirakira,-10.4544,161.9205,80.37,80,51,2.78,SB,1628459723
Cap Malheureux,-19.9842,57.6142,68.49,89,88,1.79,MU,1628459928
Vestmannaeyjar,63.4427,-20.2734,56.23,81,82,3.36,IS,1628459926
Pangoa,-12.1167,-73.0,80.76,51,0,1.26,PE,1628459928
Lorengau,-2.0226,147.2712,81.93,78,80,3.74,PG,1628459928
Potosí,-19.5836,-65.7531,52.05,22,1,5.65,BO,1628459929
Xiongyue,40.1774,122.1228,75.36,74,91,1.89,CN,1628459929
Santiago de Cao,-7.9589,-79.2392,66.33,77,0,5.66,PE,1628459930
Kashgar,39.4547,75.9797,74.41,46,0,3.0,CN,1628459930
Glendora,34.1361,-117.8653,108.45,36,1,1.34,US,1628459708
Kungurtug,50.5994,97.5228,46.44,92,15,0.63,RU,1628459931
Svetlaya,46.5389,138.3297,59.07,91,100,6.96,RU,1628459931
Åmot,59.5714,7.9877,49.50,90,85,0.98,NO,1628459932
Bretzfeld,49.1794,9.4383,59.94,91,5,1.89,DE,1628459932
Pavlohrad,48.5167,35.8667,72.55,83,74,3.15,UA,1628459932
Bácum,27.55,-110.0833,84.88,69,74,4.68,MX,1628459933
Roald,62.5833,6.1333,59.32,77,49,1.33,NO,1628459920
Candolim,15.5181,73.7626,79.07,85,43,3.71,IN,1628459933
Yazd,31.8972,54.3675,87.91,13,20,3.09,IR,1628459934
Okhotsk,59.3833,143.3,62.92,71,16,2.25,RU,1628459934
Port Lincoln,-34.7333,135.8667,54.16,56,27,7.03,AU,1628459935
Fare,-16.7,-151.0167,79.03,75,13,5.09,PF,1628459935
Chul'man,56.8479,124.9104,52.70,78,100,2.71,RU,1628459935
Bourail,-21.5667,165.4833,68.27,52,58,4.92,NC,1628459936
Amga,60.8953,131.9608,60.31,49,68,2.3,RU,1628459936
Lüshunkou,38.8,121.2667,73.62,69,100,1.7,CN,1628459937
Trairi,-3.2778,-39.2689,78.91,78,8,6.53,BR,1628459722
Hong Kong,22.2855,114.1577,85.32,89,100,0.45,HK,1628459716
Barão de Cocais,-19.9458,-43.4872,67.33,72,97,1.31,BR,1628459937
Pueblo Nuevo,23.3833,-105.3833,67.93,78,39,1.78,MX,1628459938
Nemuro,43.3236,145.575,63.84,89,100,10.97,JP,1628459938
Beyneu,45.3167,55.2,87.33,19,0,3.87,KZ,1628459938
Terråk,65.087,12.3715,62.47,86,92,2.8,NO,1628459939
Kuruman,-27.4524,23.4325,56.93,26,7,3.95,ZA,1628459939
Havre de Grace,39.5493,-76.0916,89.20,60,1,2.57,US,1628459721
Vila Velha,-20.3297,-40.2925,69.75,78,20,1.03,BR,1628459837
Ténenkou,14.4572,-4.9169,86.45,49,90,1.94,ML,1628459939
İnegöl,40.0781,29.5133,63.68,87,1,0.96,TR,1628459940
São Gabriel da Cachoeira,-0.1303,-67.0892,76.03,95,86,1.3,BR,1628459940
Mtinko,-4.55,34.85,63.91,57,70,3.83,TZ,1628459941
Smidovich,48.6,133.8167,52.56,95,100,6.13,RU,1628459941
Kinablangan,7.6947,126.5503,76.17,85,100,0.62,PH,1628459941
Kitimat,54.0524,-128.6534,66.90,71,87,1.93,CA,1628459942
Yoichi,43.2039,140.7703,68.04,86,100,1.44,JP,1628459942
Timmins,48.4669,-81.3331,64.22,94,90,3.6,CA,1628459759
Almere Stad,52.3703,5.2141,64.11,87,93,1.34,NL,1628459943
Tura,25.5198,90.2201,74.88,98,97,2.53,IN,1628459943
Santa Cruz de Tenerife,28.4682,-16.2546,74.71,84,75,3.58,ES,1628459944
Demba,-5.51,22.2667,72.46,54,38,0.61,CD,1628459945
Da Lat,11.9465,108.4419,61.70,98,80,1.18,VN,1628459945
Gal'bshtadt,53.2264,78.9845,62.42,88,100,2.83,RU,1628459946
Dawlatabad,36.4141,64.9053,82.63,17,0,2.64,AF,1628459946
Ketchikan,55.3422,-131.6461,65.43,66,62,1.63,US,1628459947
Kondinskoye,59.6481,67.41,65.16,81,100,2.66,RU,1628459947
Alta Floresta,-9.8756,-56.0861,85.05,29,21,1.26,BR,1628459948
Rocha,-34.4833,-54.3333,53.20,91,100,7.51,UY,1628459948
Lárdos,36.0942,28.0157,84.02,57,0,3.51,GR,1628459948
Obo,5.3998,26.4869,67.57,97,100,0.96,CF,1628459949
Salinópolis,-0.6136,-47.3561,79.72,80,14,5.25,BR,1628459949
Gurupi,-11.7292,-49.0686,80.51,31,6,1.88,BR,1628459950
Taoudenni,22.6783,-3.9836,103.03,8,12,5.62,ML,1628459950
Nanortalik,60.1432,-45.2371,43.63,88,34,5.86,GL,1628459950
Sigli,5.3848,95.9609,77.61,84,82,2.07,ID,1628459951
Río Gallegos,-51.6226,-69.2181,46.45,46,0,7.2,AR,1628459952
Yershov,51.3513,48.2766,75.25,38,95,3.36,RU,1628459952
Forestville,38.8451,-76.875,92.48,60,1,0.45,US,1628459953
Inongo,-1.95,18.2667,72.01,67,97,2.76,CD,1628459953
Beohāri,24.05,81.3833,77.04,89,99,2.65,IN,1628459954
Tabou,4.423,-7.3528,75.97,86,37,4.58,CI,1628459954
Kotido,2.9806,34.1331,67.66,76,84,2.96,UG,1628459954
Itarema,-2.9248,-39.9167,79.25,76,6,8.37,BR,1628459955
Norsup,-16.0667,167.3833,77.25,74,100,5.74,VU,1628459955
Guerrero Negro,27.9769,-114.0611,79.95,57,5,6.25,MX,1628459705
Mogadishu,2.0371,45.3438,76.37,88,89,8.72,SO,1628459956
Itamarandiba,-17.8572,-42.8589,59.29,81,86,1.79,BR,1628459956
Manado,1.487,124.8455,72.37,100,40,1.03,ID,1628459957
Barranco de Loba,8.946,-74.1065,86.09,71,76,1.41,CO,1628459957
‘Āhuimanu,21.4447,-157.8378,82.85,70,34,6.05,US,1628459957
Turka,49.1541,23.0297,63.25,86,93,0.43,UA,1628459958
Halifax,44.6453,-63.5724,74.08,83,100,1.34,CA,1628459958
Mandalay,21.9747,96.0836,79.11,83,100,3.06,MM,1628459957
Mackenzie,55.2999,-123.1698,71.82,49,20,3.6,CA,1628459959
Nevel'sk,46.6733,141.8633,55.83,85,100,7.64,RU,1628459959
Jasper,37.2001,-94.3502,90.55,68,34,3.13,US,1628459960
Comodoro Rivadavia,-45.8667,-67.5,48.06,46,0,3.09,AR,1628459960
Havre-St-Pierre,50.2334,-63.5986,64.76,55,1,7.2,CA,1628459961
Verkhnevilyuysk,63.4453,120.3167,65.37,84,100,0.51,RU,1628459961
Ambilobe,-13.2,49.05,70.05,85,99,0.73,MG,1628459961
Haines Junction,60.7522,-137.5108,62.55,51,100,2.06,CA,1628459962
Stary Oskol,51.2967,37.8417,77.29,31,93,3.14,RU,1628459962
Māngrol,21.1167,70.1167,81.10,77,100,4.01,IN,1628459962
Surin,14.8818,103.4936,78.53,85,91,3.08,TH,1628459963
Bengkulu,-3.8004,102.2655,75.67,89,49,1.61,ID,1628459934
